year,abs_disp,rel_disp,pct_days_low_gt_high
2000,-3.761384540385924,0.8039699204262348,15.300546448087433
2001,-3.788965306649544,0.789453828814037,20.273972602739725
2002,-2.5306143119603384,0.854154767231702,32.054794520547944
2003,-3.1441271676376275,0.8160750248704524,23.28767123287671
2004,-2.553750274884152,0.8355278206110777,29.78142076502732
2005,-2.5943892098683072,0.8325872303824107,22.73972602739726
2006,-2.2154949156875574,0.8537184519695471,26.575342465753426
2007,-2.0641707683731685,0.8548235107946578,26.027397260273972
2008,-2.8454834469723966,0.7989353047174373,24.043715846994534
2009,-2.462081456658165,0.8127618979222561,31.780821917808222
2010,-2.5659953852935615,0.7847683082726165,24.65753424657534
2011,-1.9942256632907416,0.8338164587203584,30.41095890410959
2012,-0.7697137115190049,0.930695013865069,45.3551912568306
2013,-1.081982353170865,0.9066217366514452,46.849315068493155
2014,-2.4465544266392847,0.7901621981468335,20.82191780821918
2015,-2.9550602154890644,0.745559718166763,15.890410958904111
2016,-2.3446514488621375,0.7787368643647316,22.404371584699454
2017,-2.208426450770455,0.7998267354526697,17.534246575342465
2018,-1.5078036652486073,0.8586098498470617,28.21917808219178
2019,-0.6537532618203965,0.9331152644990647,42.73972602739726
2020,-1.3546097102002506,0.8596647866568332,34.97267759562842
2021,-0.2601971275933135,0.9712439848949986,53.15068493150685
2022,-0.42333659283753455,0.9550524042545908,49.04109589041096
2023,-0.7334560062841726,0.9142368221937779,43.013698630136986
